OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent
147,9803,1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",3081,26306,274500,0.129,0.0753,0.63,0.12,0.064
148,9804,1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",2826,36559,220500,0.272,0.1113,0.666,0.178,0.036
149,9807,1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",3369,41452,236700,0.261,0.2075,0.627,0.316,0.076
150,9810,1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",2914,30704,,0.284,0.0639,0.732,0.117,0.045
94,9811,1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",5163,30764,229500,0.408,0.069,0.638,0.159,0.067
95,9901,1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",2890,89813,397100,0.027,0.4529,0.669,0.316,0.132
96,9902,1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",3120,51813,259700,0.11,0.1619,0.594,0.171,0.046
97,9903,1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",1952,64279,305500,0.122,0.2227,0.64,0.271,0.089
98,9904,1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",2979,30728,306900,0.278,0.1651,0.647,0.158,0.077
99,9905,1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",2890,40650,172100,0.248,0.1221,0.646,0.217,0.074
100,9906,1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",1623,44357,224500,0.363,0.1389,0.62,0.183,0.072
101,9907,1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",2773,31426,205800,0.455,0.1117,0.642,0.107,0.009
102,10100,1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",2861,84514,435800,0.515,0.7876,0.806,0.259,0.042
103,10200,1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",2745,104215,618200,0.216,0.7708,0.768,0.375,0.066
104,10300,1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",3515,69741,437000,0.161,0.564,0.654,0.446,0.127
105,10400,1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",4625,36477,276700,0.371,0.1993,0.538,0.152,0.113
151,10500,1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",3624,83750,391600,0.328,0.7296,0.77,0.332,0.087
152,10600,1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",7167,110469,637500,0.278,0.8285,0.855,0.248,0.035
153,10700,1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",1711,73750,418400,0.581,0.8969,0.757,0.13,0.012
154,10800,1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",6451,36058,,0.882,0.8321,0.426,0.026,0.012
155,10900,1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",4054,31094,,0.387,0.154,0.558,0.133,0.042
156,11000,1400000US11001011000,11001011000,"Census Tract 110, District of Columbia, District of Columbia",3720,75529,344900,0.286,0.8209,0.721,0.289,0.109
157,11100,1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",5548,75781,428700,0.061,0.3972,0.572,0.272,0.062
