,OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent,Crime_count
11,87,802,1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3476,99808.0,983600.0,0.035,0.8794,0.7190000000000001,0.413,0.05,
12,88,901,1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",7799,242208.0,1450400.0,0.006,0.8425,0.51,0.366,0.040999999999999995,1.0
13,17,902,1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2584,205469.0,1193500.0,0.006,0.8675,0.7,0.618,0.033,1.0
14,18,1001,1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",7853,164180.0,920500.0,0.035,0.8949,0.672,0.5760000000000001,0.05,3.0
15,19,1002,1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3512,99167.0,420600.0,0.16899999999999998,0.8063,0.77,0.321,0.023,1.0
16,27,1100,1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",4947,154156.0,945400.0,0.087,0.8677,0.711,0.565,0.063,6.0
17,28,1200,1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",5031,125179.0,860500.0,0.273,0.8618,0.8170000000000001,0.415,0.055999999999999994,2.0
18,29,1301,1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",4151,134282.0,1272300.0,0.209,0.9205,0.8079999999999999,0.501,0.047,
19,30,1302,1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7563,113300.0,402600.0,0.196,0.888,0.802,0.325,0.042,
20,31,1401,1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3334,120526.0,1062900.0,0.151,0.9135,0.733,0.578,0.047,
21,32,1402,1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3375,111361.0,834200.0,0.11699999999999999,0.7967,0.657,0.467,0.033,1.0
22,8,1500,1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",6077,205159.0,1024200.0,,0.8634,0.609,0.606,0.10300000000000001,
23,9,1600,1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",4699,169250.0,806100.0,0.012,0.8029,0.6679999999999999,0.494,0.071,5.0
24,10,1702,1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3217,91711.0,443500.0,0.08,0.6431,0.77,0.451,0.032,7.0
25,34,1803,1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",4176,51182.0,568200.0,0.155,0.3078,0.75,0.43200000000000005,0.054000000000000006,10.0
26,35,1804,1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5668,42579.0,454700.0,0.152,0.2808,0.588,0.366,0.061,8.0
27,36,1901,1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",4065,82963.0,463100.0,0.087,0.4838,0.67,0.332,0.071,5.0
28,108,1902,1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2494,89583.0,530400.0,0.048,0.3998,0.644,0.278,0.071,1.0
29,109,2001,1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",3150,63060.0,756400.0,0.20800000000000002,0.4025,0.643,0.392,0.063,2.0
30,110,2002,1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4202,87256.0,590200.0,0.055999999999999994,0.4779,0.748,0.44799999999999995,0.069,10.0
31,111,2101,1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",4819,54359.0,418300.0,0.29100000000000004,0.2694,0.693,0.316,0.053,6.0
32,112,2102,1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",5264,76836.0,459800.0,0.106,0.4889,0.6990000000000001,0.254,0.068,12.0
33,113,2201,1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",2955,65069.0,585500.0,0.061,0.3839,0.64,0.387,0.06,9.0
34,114,2202,1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",3347,54817.0,474100.0,0.23,0.3506,0.723,0.25,0.025,4.0
35,116,2301,1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",3625,118750.0,556400.0,0.061,0.4652,0.723,0.413,0.054000000000000006,2.0
36,117,2302,1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1708,60417.0,299000.0,0.077,0.575,0.499,0.217,0.303,3.0
37,118,2400,1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",4067,105189.0,564800.0,0.18100000000000002,0.545,0.7390000000000001,0.257,0.063,6.0
38,119,2501,1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",3138,59141.0,687500.0,0.271,0.4029,0.726,0.271,0.042,4.0
39,120,2502,1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",6389,73464.0,561000.0,0.266,0.408,0.741,0.262,0.052000000000000005,18.0
40,121,2600,1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",2521,181875.0,919800.0,0.05,0.8455,0.698,0.515,0.053,2.0
41,122,2701,1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",6173,72308.0,707500.0,0.446,0.648,0.78,0.314,0.015,3.0
