offense_text,LONGITUDE,LATITUDE
robbery,-77.02053956,38.96727849
robbery,-77.03811605,38.92876369
assault w/dangerous weapon,-77.0220175,38.93297471
robbery,-76.9739872,38.85102474
homicide,-76.99679771,38.84326232
robbery,-76.99618267,38.92791405
robbery,-77.02887621,38.92375771
robbery,-76.99433709,38.93237309
robbery,-77.01897094,38.96991817
robbery,-77.00971949,38.82438023
assault w/dangerous weapon,-77.02712396,38.95570154
robbery,-76.98102605,38.85117924
robbery,-77.02707243,38.97190739
assault w/dangerous weapon,-76.94765293,38.89665246
assault w/dangerous weapon,-77.0226493,38.92497521
robbery,-76.98691865,38.8828356
assault w/dangerous weapon,-76.94864064,38.90175163
assault w/dangerous weapon,-76.98558635,38.85980997
robbery,-77.04520055,38.91583422
assault w/dangerous weapon,-77.04881346,38.90450928
robbery,-76.94479135,38.90017341
robbery,-77.00131426,38.90251061
assault w/dangerous weapon,-76.93847681,38.89677411
robbery,-76.98691842,38.88409678
assault w/dangerous weapon,-76.95277547,38.89021366
robbery,-77.03387036,38.92539589
assault w/dangerous weapon,-76.92983228,38.88380618
assault w/dangerous weapon,-77.01048903,38.9673609
assault w/dangerous weapon,-76.98293907,38.89666294
assault w/dangerous weapon,-77.02502884,38.90323761
assault w/dangerous weapon,-77.00194616,38.82292124
robbery,-76.92051704,38.89646599
assault w/dangerous weapon,-76.98246563,38.89996894
robbery,-76.98679886,38.84507231
robbery,-77.02265261,38.93539782
robbery,-77.02850025,38.93526142
assault w/dangerous weapon,-76.91872707,38.88914095
assault w/dangerous weapon,-76.9473759,38.86588869
robbery,-77.0219166,38.90490478
assault w/dangerous weapon,-76.973233,38.89610261
assault w/dangerous weapon,-76.99464446,38.83249714
robbery,-77.02825123,38.94718846
robbery,-77.00836458,38.9565872
assault w/dangerous weapon,-77.01241859,38.91564412
robbery,-76.96028208,38.8852078
robbery,-77.02742869,38.96807881
assault w/dangerous weapon,-77.01621285,38.91850831
robbery,-76.98222765,38.88346557
assault w/dangerous weapon,-76.94720947,38.90396705
homicide,-76.91956849,38.88915054
homicide,-77.00483735,38.83373132
assault w/dangerous weapon,-76.91919184,38.88586222
robbery,-76.97203523,38.86388832
assault w/dangerous weapon,-77.04139973,38.92329453
robbery,-76.96746692,38.87586832
robbery,-77.00879056,38.9493265
assault w/dangerous weapon,-76.98843313,38.85417101
assault w/dangerous weapon,-77.00005766,38.91993275
robbery,-76.97203523,38.86388832
robbery,-76.95179813,38.88662793
assault w/dangerous weapon,-77.00891275,38.81938059
robbery,-77.02333106,38.96435929
robbery,-76.9902489,38.88719599
assault w/dangerous weapon,-77.00902806,38.82066879
robbery,-77.02123183,38.92829954
assault w/dangerous weapon,-76.99152669,38.90075368
robbery,-77.01166638,38.96954078
robbery,-76.98635711,38.86607091
homicide,-76.97699005,38.89898608
robbery,-77.00905097,38.91058174
assault w/dangerous weapon,-76.98520456,38.92298563
robbery,-76.98831264,38.88640307
assault w/dangerous weapon,-76.92938078,38.88583279
assault w/dangerous weapon,-76.97259129,38.85612319
robbery,-77.02353931,38.9311187
assault w/dangerous weapon,-76.99861805,38.82604719
robbery,-76.99011964,38.90505956
assault w/dangerous weapon,-76.9836536,38.89750082
robbery,-77.04360696,38.90992743
assault w/dangerous weapon,-77.01929515,38.93137171
assault w/dangerous weapon,-77.01976268,38.9537212
assault w/dangerous weapon,-76.97306576,38.85052907
assault w/dangerous weapon,-77.01218083,38.87380028
robbery,-76.99573147,38.95179502
assault w/dangerous weapon,-76.96061676,38.88442418
robbery,-76.98443775,38.8434505
robbery,-76.93219692,38.90606726
assault w/dangerous weapon,-77.01065947,38.87249421
assault w/dangerous weapon,-77.01366047,38.89769935
assault w/dangerous weapon,-77.00133803,38.94074193
robbery,-76.94733188,38.89431014
robbery,-76.9735434,38.86730286
robbery,-76.92699163,38.88904732
robbery,-76.92719397,38.89407412
robbery,-77.02271865,38.92546165
robbery,-76.99266468,38.93294953
assault w/dangerous weapon,-76.98293907,38.89666294
robbery,-77.0457791,38.90100626
robbery,-77.0219152,38.90033755
assault w/dangerous weapon,-76.95291285,38.89163704
robbery,-77.01939632,38.87928542
assault w/dangerous weapon,-76.97614246,38.84813349
robbery,-77.05427775,38.90395736
assault w/dangerous weapon,-77.02765381,38.95348538
robbery,-76.94720947,38.90396705
robbery,-76.99861805,38.82604719
assault w/dangerous weapon,-76.98529029,38.84281101
assault w/dangerous weapon,-77.02294587,38.91482277
robbery,-76.92968179,38.88448172
assault w/dangerous weapon,-76.98246563,38.89996894
assault w/dangerous weapon,-77.02321903,38.93925326
robbery,-76.94089391,38.90125251
assault w/dangerous weapon,-77.00057594,38.84240656
robbery,-76.93594821,38.88844
robbery,-77.02838112,38.92573967
assault w/dangerous weapon,-77.00842864,38.912969
assault w/dangerous weapon,-76.98284546,38.85449462
assault w/dangerous weapon,-76.93457922,38.88341644
robbery,-76.94395013,38.8997316
assault w/dangerous weapon,-77.03811605,38.92876369
